"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 24 08:28:12 UTC 2025","Mon Nov 24 08:28:42 UTC 2025","29614","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkUI_TNGBusinessAccount","checkUI_TNGBusinessAccount","RecordType_TNG Business Account_Check labels theo từng section"
"failed","Mon Nov 24 08:19:59 UTC 2025","Mon Nov 24 08:20:21 UTC 2025","22522","Test Suite","Salesforce","tests.SFLead","tests.SFLead","checkDataType","checkDataType","Check DataType Custom Fields Only"
"failed","Mon Nov 24 08:31:18 UTC 2025","Mon Nov 24 08:31:31 UTC 2025","13406","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkReadOnly_RecordType_TNGBusinessAccount","checkReadOnly_RecordType_TNGBusinessAccount","Check readonly field(s) _ Record Type TNG Business Account"
"failed","Mon Nov 24 08:29:19 UTC 2025","Mon Nov 24 08:29:38 UTC 2025","19742","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkDataTypeAndAPIName","checkDataTypeAndAPIName","Check DataType Custom Fields Only"
"passed","Mon Nov 24 08:25:45 UTC 2025","Mon Nov 24 08:25:53 UTC 2025","7466","Test Suite","Salesforce","tests.SFOpp","tests.SFOpp","checkUI_RecordType_Collagen","checkUI_RecordType_Collagen","Check labels theo từng section"
"failed","Mon Nov 24 08:24:13 UTC 2025","Mon Nov 24 08:24:33 UTC 2025","19261","Test Suite","Salesforce","tests.SFContact","tests.SFContact","checkHistoryTracking","checkHistoryTracking","Check history tracking"
"failed","Mon Nov 24 08:25:55 UTC 2025","Mon Nov 24 08:26:18 UTC 2025","22914","Test Suite","Salesforce","tests.SFOpp","tests.SFOpp","checkDataType","checkDataType","Check DataType Custom Fields Only"
"passed","Mon Nov 24 08:33:42 UTC 2025","Mon Nov 24 08:33:42 UTC 2025","1","Test Suite","Salesforce","tests.SFProfilePermission","tests.SFProfilePermission","checkProfilesSalesReps","Check profile permission.",""
"passed","Mon Nov 24 08:30:58 UTC 2025","Mon Nov 24 08:31:16 UTC 2025","17794","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkRequired_RecordType_TNGBusinessAccount","checkRequired_RecordType_TNGBusinessAccount","Check required field(s)_ Record Type TNG Business Account"
"failed","Mon Nov 24 08:24:36 UTC 2025","Mon Nov 24 08:24:55 UTC 2025","19128","Test Suite","Salesforce","tests.SFContact","tests.SFContact","checkRequired","checkRequired","Check required field(s)"
"failed","Mon Nov 24 08:21:21 UTC 2025","Mon Nov 24 08:21:38 UTC 2025","16054","Test Suite","Salesforce","tests.SFLead","tests.SFLead","checkPicklistDependency","checkPicklistDependency","Check Picklist Dependency"
"passed","Mon Nov 24 08:32:04 UTC 2025","Mon Nov 24 08:32:11 UTC 2025","6885","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","getDefaultValues_test","getDefaultValues_test","Check default_ checkbox Lead"
"failed","Mon Nov 24 08:21:41 UTC 2025","Mon Nov 24 08:22:30 UTC 2025","48564","Test Suite","Salesforce","tests.SFLead","tests.SFLead","checkMultiPicklistValues","checkMultiPicklistValues","Check Multi Picklist Values"
"broken","Mon Nov 24 08:31:53 UTC 2025","Mon Nov 24 08:32:00 UTC 2025","7023","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","getDefaultValues","getDefaultValues","Check default_ Record Type TNG Business Account"
"failed","Mon Nov 24 08:21:03 UTC 2025","Mon Nov 24 08:21:18 UTC 2025","14457","Test Suite","Salesforce","tests.SFLead","tests.SFLead","checkRequired","checkRequired","Check required field(s)"
"passed","Mon Nov 24 08:30:21 UTC 2025","Mon Nov 24 08:30:28 UTC 2025","7125","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkPicklist_TNGBusinessAccount","checkPicklist_TNGBusinessAccount","Check picklist values record type TNG Business Account"
"passed","Mon Nov 24 08:27:02 UTC 2025","Mon Nov 24 08:27:09 UTC 2025","7096","Test Suite","Salesforce","tests.SFOpp","tests.SFOpp","checkPicklist","checkPicklist","Check picklist values & default picklist value"
"failed","Mon Nov 24 08:30:30 UTC 2025","Mon Nov 24 08:30:54 UTC 2025","24142","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkRequired_RecordType_BusinessAccount","checkRequired_RecordType_BusinessAccount","Check required field(s)_ Record Type Business Account"
"failed","Mon Nov 24 08:26:43 UTC 2025","Mon Nov 24 08:26:58 UTC 2025","14358","Test Suite","Salesforce","tests.SFOpp","tests.SFOpp","checkRequired","checkRequired","Check required field(s)"
"failed","Mon Nov 24 08:19:26 UTC 2025","Mon Nov 24 08:19:54 UTC 2025","28019","Test Suite","Salesforce","tests.SFLead","tests.SFLead","checkUI","checkUI","Check labels theo từng section"
"passed","Mon Nov 24 08:23:57 UTC 2025","Mon Nov 24 08:24:11 UTC 2025","14114","Test Suite","Salesforce","tests.SFContact","tests.SFContact","checkDataType","checkDataType","Check DataType Custom Fields Only"
"failed","Mon Nov 24 08:22:34 UTC 2025","Mon Nov 24 08:22:41 UTC 2025","7360","Test Suite","Salesforce","tests.SFLead","tests.SFLead","getDefaultValues","getDefaultValues","Check default_ Lead"
"passed","Mon Nov 24 08:30:12 UTC 2025","Mon Nov 24 08:30:19 UTC 2025","7318","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkPicklist_BusinessAccount","checkPicklist_BusinessAccount","Check picklist values Record Type Business Account"
"failed","Mon Nov 24 08:29:42 UTC 2025","Mon Nov 24 08:30:08 UTC 2025","25397","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkHistoryTracking","checkHistoryTracking","Check history tracking"
"failed","Mon Nov 24 08:26:21 UTC 2025","Mon Nov 24 08:26:40 UTC 2025","18623","Test Suite","Salesforce","tests.SFOpp","tests.SFOpp","checkHistoryTracking","checkHistoryTracking","Check history tracking"
"failed","Mon Nov 24 08:20:25 UTC 2025","Mon Nov 24 08:20:50 UTC 2025","25000","Test Suite","Salesforce","tests.SFLead","tests.SFLead","checkHistoryTracking","checkHistoryTracking","Check history tracking"
"failed","Mon Nov 24 08:23:32 UTC 2025","Mon Nov 24 08:23:53 UTC 2025","21615","Test Suite","Salesforce","tests.SFContact","tests.SFContact","checkUI","checkUI","Check labels theo từng section"
"passed","Mon Nov 24 08:32:57 UTC 2025","Mon Nov 24 08:33:40 UTC 2025","42656","Test Suite","Salesforce","tests.SFProfilePermission","tests.SFProfilePermission","checkProfilesLeader","Check profile permission.",""
"passed","Mon Nov 24 08:20:54 UTC 2025","Mon Nov 24 08:21:01 UTC 2025","7485","Test Suite","Salesforce","tests.SFLead","tests.SFLead","checkPicklist","checkPicklist","Check picklist values & default picklist value"
"failed","Mon Nov 24 08:28:46 UTC 2025","Mon Nov 24 08:29:15 UTC 2025","29044","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkUI_BusinessAccount","checkUI_BusinessAccount","RecordType_Business Account_Check labels theo từng section"
"failed","Mon Nov 24 08:31:36 UTC 2025","Mon Nov 24 08:31:49 UTC 2025","13442","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkReadOnly_RecordType_BusinessAccount","checkReadOnly_RecordType_BusinessAccount","Check readonly field(s) _ Record Type TNG Business Account"
"passed","Mon Nov 24 08:27:11 UTC 2025","Mon Nov 24 08:27:26 UTC 2025","14820","Test Suite","Salesforce","tests.SFOpp","tests.SFOpp","AutomationCloseDate_Collagen","AutomationCloseDate_Collagen","Automation Close Date - Collagen"
